Rank,Journal/Zeitschrift,Rating,JQ2 Quality Index
169,Wirtschaftsinformatik (WI),B,7.2891912307
170,Journal of Information Technology,B,7.2844027565
171,Journal of the American Taxation Association,B,7.279814077
172,British Journal of Management,B,7.2759458669
173,Journal of Business,B,7.2564571714
174,International Journal of Theoretical and Applied Finance,B,7.2509854239
175,Nonprofit Management and Leadership,B,7.2318884845
176,"Journal of Accounting, Auditing and Finance",B,7.2277304101
177,ZfbF Schmalenbachs Zeitschrift für betriebswirtschaftliche Forschung,B,7.2113446662
178,Journal of Futures Markets,B,7.2053054815
179,Artificial Intelligence,B,7.2052332636
180,Journal of Credit Risk,B,7.1995685462
181,Steuer und Wirtschaft,B,7.1983598419
182,Schmalenbach Business Review,B,7.1968491317
183,American Journal of Public Health,B,7.1953382838
184,Journal of Multi-Criteria Decision Analysis,B,7.1952789351
185,Behavioral Research in Accounting,B,7.1858427704
186,Human Resource Management Journal,B,7.1681764763
187,Journal of Derivatives,B,7.1661225059
188,Decision Support Systems,B,7.1646865233
189,Strategic Entrepreneurship Journal,B,7.1526752528
190,Organization,B,7.1454844631
191,Review of Managerial Science,B,7.1368462608
192,Journal of Applied Behavioral Science,B,7.1325306628
193,Journal of Computational Finance,B,7.1077614175
194,ACM Transactions on Information Systems,B,7.1067332135
195,Journal of Cultural Economics,B,7.1028688242
196,International Business Review,B,7.094815529
197,Long Range Planning,B,7.0917929645
198,Journal of Business Research,B,7.0901964033
199,Journal of Human Resources,B,7.0868021261
200,Journal of Forecasting,B,7.0706253772
201,Journal of International Accounting Research,B,7.0603201209
202,Accounting and Business Research,B,7.0570028095
203,Quarterly Review of Economics and Finance,B,7.0548326253
204,Management Learning,B,7.0542122205
205,Economics Letters,B,7.0537075026
206,Zeitschrift für Umweltpolitik und Umweltrecht,B,7.0516825878
207,Human Performance,B,7.0460078919
208,Technological Forecasting and Social Change,B,7.039144385
209,Journal of Accounting Literature,B,7.0307863414
210,Journal of Risk,B,7.0304226856
211,Journal of International Money and Finance,B,7.0246596211
212,Journal of Fixed Income,B,7.0223166844
213,Zeitschrift für Betriebswirtschaft ZfB,B,7.0129403718
214,ACM Computing Surveys,B,7.0087932267
215,Human Resource Management,B,7.0071819226
216,Journal of Non Profit and Public Sector Marketing,B,7.0007033055
217,Decision Analysis,C,6.9831317666
218,International Journal of Auditing,C,6.9730689881
219,Journal of Empirical Finance,C,6.968675055
220,Journal of Economics and Finance,C,6.9666399198
221,International Journal of Technology Management,C,6.9624159587
222,Accounting Auditing Accountability Journal,C,6.9599413059
223,Work Employment and Society,C,6.9549822064
224,Industrial and Corporate Change,C,6.9444746473
225,Small Business Economics,C,6.9432465325
226,Mathematical Methods of Operations Research (formerly: Zeitschrift für Operations Research),C,6.9326663764
227,International Journal of Product Development,C,6.9270427209
228,Journal of Industrial Relations,C,6.9267254613
229,Academy of Management Learning and Education,C,6.9183556146
230,Journal of Business Ethics,C,6.9169455942
231,R&D Management,C,6.9149755526
232,Proceedings of the Conference on Very Large Data Bases (VLDB),C,6.9132997988
